"file","layer","candidate","call_site","units","in_bytes","out_bytes","js_ms","js_median_ms","wasm_ms","wasm_median_ms","floor_ms","floor_median_ms","load","marshalled","measured"
"shortreads_300x.bam","@gmod/bgzf-filehandle","BGZF inflate","@gmod/bam bamFile.ts › getRecordsForRange → unzipChunkSlice",1,1749,5144,0.230019999999968,0.692964999999958,0.0817970000000514,0.146269999999959,0.00774999999998727,0.00857199999995828,35.12060546875,6893,"2026-09-03"
"shortreads_300x.bam","@gmod/bgzf-filehandle","BGZF block scan","@gmod/bam streamBam.ts › streamBamRecords → scanBgzfBlocks",1,1749,32,0.00338499999998021,0.00361199999997552,NA,NA,0.00329999999985375,0.00347400000009657,35.12060546875,1781,"2026-09-03"
"shortreads_300x.bam","@gmod/bgzf-filehandle","BGZF inflate","@gmod/bam bamFile.ts › getRecordsForRange → unzipChunkSlice",4,53599,200707,5.74177499999996,9.34679300000016,1.42611699999998,2.17759100000012,0.0691400000000613,0.35161300000027,35.12060546875,254306,"2026-09-03"
"shortreads_300x.bam","@gmod/bgzf-filehandle","BGZF block scan","@gmod/bam streamBam.ts › streamBamRecords → scanBgzfBlocks",4,53599,128,0.00463999999965381,0.00474499999972977,NA,NA,0.00808999999981097,0.015306999999666,35.12060546875,53727,"2026-09-03"
"shortreads_300x.bam","@gmod/bgzf-filehandle","BGZF inflate","@gmod/bam bamFile.ts › getRecordsForRange → unzipChunkSlice",16,258369,982216,36.0325320000002,50.1757630000002,7.3771799999995,16.2360200000003,0.427142000000458,0.806769999999233,31.7255859375,1240585,"2026-09-03"
"shortreads_300x.bam","@gmod/bgzf-filehandle","BGZF block scan","@gmod/bam streamBam.ts › streamBamRecords → scanBgzfBlocks",16,258369,512,0.00411700000040582,0.00453000000015891,NA,NA,0.0513559999999416,0.0595780000003288,31.7255859375,258881,"2026-09-03"
"shortreads_300x.bam","@gmod/bgzf-filehandle","BGZF inflate","@gmod/bam bamFile.ts › getRecordsForRange → unzipChunkSlice",64,1098342,4109037,158.217809000002,180.190340000001,46.8062480000008,57.9191420000006,3.18636199999855,4.65121999999974,32.54833984375,5207379,"2026-09-03"
"shortreads_300x.bam","@gmod/bgzf-filehandle","BGZF block scan","@gmod/bam streamBam.ts › streamBamRecords → scanBgzfBlocks",64,1098342,2048,0.014883000001646,0.0190870000005816,NA,NA,0.179213999999774,0.236198000000513,32.54833984375,1100390,"2026-09-03"
"shortreads_300x.bam","@gmod/bgzf-filehandle","BGZF inflate","@gmod/bam bamFile.ts › getRecordsForRange → unzipChunkSlice",256,4580289,16612160,701.228770000002,810.556487000002,247.440731000002,286.481240000001,15.097600000001,27.6344310000059,24.7568359375,21192449,"2026-09-03"
"shortreads_300x.bam","@gmod/bgzf-filehandle","BGZF block scan","@gmod/bam streamBam.ts › streamBamRecords → scanBgzfBlocks",256,4580289,8192,0.0568740000016987,0.063719999998284,NA,NA,1.72244900000078,2.21355400000175,24.7568359375,4588481,"2026-09-03"
"shortreads_300x.bam","@gmod/bgzf-filehandle","BGZF inflate","@gmod/bam bamFile.ts › getRecordsForRange → unzipChunkSlice",287,5113181,18534283,1098.551924,1218.633041,350.556798999998,413.719270999994,26.7037160000036,30.6379319999978,32.67822265625,23647464,"2026-09-03"
"shortreads_300x.bam","@gmod/bgzf-filehandle","BGZF block scan","@gmod/bam streamBam.ts › streamBamRecords → scanBgzfBlocks",287,5113181,9184,0.0713959999993676,0.083520000000135,NA,NA,1.85365399999137,2.91840500000399,32.67822265625,5122365,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM record walk","@gmod/bam bamFile.ts › readBamFeatures",2680,927866,21440,0.144780999995419,0.215798000004725,NA,NA,0.197080999991158,0.253345000004629,32.67822265625,949306,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM field decode","jb2 BamAdapter.ts › filterReadFlag(record.flags), record.start",2680,927866,42880,0.579899000003934,1.36842899999465,NA,NA,0.167658999998821,0.253091999999015,32.67822265625,970746,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM CIGAR unpack","jb2 BamAdapter.ts › numericCigarHasSkip(record.NUMERIC_CIGAR)",2680,927866,12444,0.594981000002008,1.40645699999004,NA,NA,0.166234999996959,0.232411999997566,32.67822265625,940310,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM mismatch walk","jb2 BamSlightlyLazyFeature.ts › forEachMismatch → forEachMismatchNumeric",2680,927866,21632,4.90995000000112,17.7177429999865,NA,NA,0.220384000000195,0.376302000004216,32.67822265625,949498,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM record walk","@gmod/bam bamFile.ts › readBamFeatures",10719,3706800,85752,0.612452000001213,1.43362600001274,NA,NA,1.22342599999683,2.10252100000798,32.67822265625,3792552,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM field decode","jb2 BamAdapter.ts › filterReadFlag(record.flags), record.start",10719,3706800,171504,4.54123200000322,6.75322499999311,NA,NA,1.31412100000307,1.9483809999947,32.67822265625,3878304,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM CIGAR unpack","jb2 BamAdapter.ts › numericCigarHasSkip(record.NUMERIC_CIGAR)",10719,3706800,46000,2.59169600000314,8.09417099998973,NA,NA,1.16101000001072,1.86507299999357,32.67822265625,3752800,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM mismatch walk","jb2 BamSlightlyLazyFeature.ts › forEachMismatch → forEachMismatchNumeric",10719,3706800,94336,27.3163499999937,32.8395630000014,NA,NA,1.17786900000647,1.81407100000069,31.42236328125,3801136,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM record walk","@gmod/bam bamFile.ts › readBamFeatures",26798,9259538,214384,3.55795799999032,4.90516300000309,NA,NA,3.67581400000199,6.1416590000008,31.42236328125,9473922,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM field decode","jb2 BamAdapter.ts › filterReadFlag(record.flags), record.start",26798,9259538,428768,11.1601499999961,25.1972489999898,NA,NA,3.79820999999356,6.00351800001226,31.42236328125,9688306,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM CIGAR unpack","jb2 BamAdapter.ts › numericCigarHasSkip(record.NUMERIC_CIGAR)",26798,9259538,113488,13.1603079999913,29.7340790000017,NA,NA,3.30625099998724,4.83093100000406,31.42236328125,9373026,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM mismatch walk","jb2 BamSlightlyLazyFeature.ts › forEachMismatch → forEachMismatchNumeric",26798,9259538,227984,93.2163119999896,118.318889000002,NA,NA,3.73560800000269,5.20404199999757,32.42919921875,9487522,"2026-09-03"
"shortreads_300x.bam","@gmod/bam","BAM record walk","@gmod/bam bamFile.ts › readBamFeatures",53596,18529139,428768,7.25864899999578,18.574483999997,NA,NA,7.13852500000212,19.5528909999994,32.42919921875,18957907,"2026-09-03"
